
 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.1     17.1     ***
 ANSYS Multiphysics                                
 00000000  VERSION=WINDOWS x64   20:54:46  MAR 08, 2017 CP=   2726.672

 pas_susp_dynamics                                                             



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        101 VOLT    
                  VOLT    
  0.64453E-03    -3.19072    
  0.64531E-03    -1.89464    
  0.64609E-03   -0.525740    
  0.64688E-03    0.863360    
  0.64766E-03     2.21928    
  0.64844E-03     3.48992    
  0.64922E-03     4.62644    
  0.65000E-03     5.58517    
  0.65078E-03     6.32926    
  0.65156E-03     6.83013    
  0.65234E-03     7.06851    
  0.65313E-03     7.03526    
  0.65391E-03     6.73165    
  0.65469E-03     6.16934    
  0.65547E-03     5.36995    
  0.65625E-03     4.36419    
  0.65703E-03     3.19072    
  0.65781E-03     1.89464    
  0.65859E-03    0.525740    
  0.65938E-03   -0.863360    
  0.66016E-03    -2.21928    
  0.66094E-03    -3.48992    
  0.66172E-03    -4.62644    
  0.66250E-03    -5.58517    
  0.66328E-03    -6.32926    
  0.66406E-03    -6.83013    
  0.66484E-03    -7.06851    
  0.66563E-03    -7.03526    
  0.66641E-03    -6.73165    
  0.66719E-03    -6.16934    
  0.66797E-03    -5.36995    
  0.66875E-03    -4.36419    
  0.66953E-03    -3.19072    
  0.67031E-03    -1.89464    
  0.67109E-03   -0.525740    
  0.67188E-03    0.863360    
  0.67266E-03     2.21928    
  0.67344E-03     3.48992    
  0.67422E-03     4.62644    
  0.67500E-03     5.58517    
  0.67578E-03     6.32926    
  0.67656E-03     6.83013    
  0.67734E-03     7.06851    
  0.67813E-03     7.03526    
